Cruise,Station,Year,Month,Day,Hour,Lat,Long,Pressure_CTD (dbar),Depth (m),Temperatura_CTD (C),Salinidade_CTD (psu),Sound velocity_CTD (m/s),Density_CTD(kg/m3),Prof local (m),Secchi (m),Salinidade (psu),Temperatura (C),pH,pH2,Tph,OD (mg/L),OD (% sat),OD (frasco),pCO2,Cond(mS/cm),Ch4,Metais (ml),N Fil Metais,MPS (mL),MPS (mg/ L),Volume filtrado Chl-a (ml),Chl a (ug/m3),Feo (ug/m3),Clorf-a (ug/m3),Clorf-b (ug/m3),Clorf-c (ug/m3),Clorf-a 2(ug/m3),Clorf-b 2(ug/m3),Clorf-c 2(ug/m3),Carotenoide Diatom (ug/m3),Carotenoide Dinofl (ug/m3)
VLT01,VLT118,2021,11,3,14:07,-23.263967,-44.6263,,6.7,,,,,7.7,,,,,,,,,,,,,,,1600,3.8,1600,2.94,0.51,3.4,0.2,0.62,3.3,0.15,1.39,1.59,3.98
VLT01,VLT119,2021,11,3,17:14,-23.263967,-44.6263,,1,,,,,8.1,3,31.82,22.64,8.2,8.17,,5.37,74.9,,481.5,,,,,2000,3.2,2000,1.1,0.14,1.2,0.11,0.17,1.2,0.08,0.39,0.71,1.77
VLT01,VLT119,2021,11,3,17:14,-23.263967,-44.6263,,1,,,,,8.1,,,,,,,,,,,,,,,,,1800,1.44,0.11,1.6,0.14,0.24,1.53,0.12,0.54,0.96,2.39
VLT01,VLT119,2021,11,3,17:14,-23.263967,-44.6263,,7.1,,,,,8.1,,,,,,,,,,,,,,,1600,5.1,1600,3.25,0.46,3.7,0.28,0.64,3.58,0.22,1.44,1.68,4.19
VLT01,VLT120,2021,11,3,20:10,-23.263967,-44.6263,,1,,,,,6.7,,31.38,22.85,8.17,8.11,,5.25,73.2,,505,,,,,2000,3.7,2000,0.93,0.13,1,0.11,0.14,1.02,0.08,0.32,0.63,1.57
VLT01,VLT120,2021,11,3,20:10,-23.263967,-44.6263,,1,,,,,6.7,,,,,,,,,,,,,,,,,1800,1.11,0.11,1.2,0.11,0.18,1.2,0.09,0.4,0.78,1.96
VLT01,VLT120,2021,11,3,20:10,-23.263967,-44.6263,,5.7,,,,,6.7,,,,,,,,,,,,,,,1800,4.4,1800,2.41,0.53,2.8,0.2,0.51,2.76,0.15,1.13,1.31,3.27
VLT01,VLT121,2021,11,3,23:17,-23.263967,-44.6263,,1,,,,,7.8,,31.56,22.31,8.18,8.08,,5.28,72.9,,485,,,,,2750,2.5,2500,0.89,0.26,1.1,0.09,0.15,1.06,0.07,0.33,0.63,1.57
VLT01,VLT121,2021,11,3,23:17,-23.263967,-44.6263,,1,,,,,7.8,,,,,,,,,,,,,,,,,1800,1.4,0.36,1.7,0.14,0.27,1.64,0.11,0.6,1.07,2.66
VLT01,VLT121,2021,11,3,23:17,-23.263967,-44.6263,,6.8,,,,,7.8,,,,,,,,,,,,,,,1800,3.7,1800,2.06,0.58,2.5,0.23,0.44,2.44,0.18,0.99,1.35,3.37
VLT01,VLT122,2021,11,4,2:10,-23.263967,-44.6263,,1,,,,,7.8,,31.08,22.24,8.2,8.16,,5.32,73.3,,466.7,,,,,2750,10.3,2750,0.89,0.26,1.1,0.09,0.19,1.06,0.07,0.43,0.59,1.47
VLT01,VLT122,2021,11,4,2:10,-23.263967,-44.6263,,1,,,,,7.8,,,,,,,,,,,,,,,,,1800,1.03,0.3,1.3,0.14,0.23,1.23,0.12,0.53,0.69,1.73
VLT01,VLT122,2021,11,4,2:10,-23.263967,-44.6263,,6.8,,,,,7.8,,,,,,,,,,,,,,,1800,4.3,1800,1.85,0.32,2.1,0.16,0.37,2.07,0.12,0.84,1.13,2.83
VLT01,VLT123,2021,11,4,5:16,-23.263967,-44.6263,,1,,,,,7.4,3,31.26,22.1,8.17,8.2,,5.13,70.6,,499.4,,,,,2750,11.5,2750,0.82,0.2,1,0.07,0.13,0.96,0.06,0.29,0.5,1.25
